ID	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio_num	BgRatio_num	Enrichment	Comparison	Direction
MODULE_17	12/199	364/41384	2.36E-07	4.22E-05	2.90E-05	TRIB2/PTP4A3/COL15A1/DDIT4/AHCYL1/IER3/MYC/CDC45/RRP1B/PYCR1/NOLC1/BOP1	12	0.060301508	0.00879567	6.855817549	E788_vs_WT	up
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	9/199	179/41384	2.40E-07	4.26E-05	2.92E-05	TRIB2/PTP4A3/MAPKAPK3/CCND1/GFUS/PLPP3/FKBP11/STEAP1/BOP1	9	0.045226131	0.004325343	10.45607928	E788_vs_WT	up
DANG_MYC_TARGETS_UP	8/199	130/41384	2.44E-07	4.28E-05	2.94E-05	PPID/RIOX2/CCND2/HMGA1/BCAT1/PYCR1/TERT/SRM	8	0.040201005	0.003141311	12.79752609	E788_vs_WT	up
MODULE_1	12/199	368/41384	2.65E-07	4.59E-05	3.15E-05	TRIB2/NCALD/COL15A1/IER3/CCND1/TGFBR3/MYC/AKAP12/ADAM19/CCND2/TRAM2/ABLIM1	12	0.060301508	0.008892326	6.781297793	E788_vs_WT	up
WALLACE_PROSTATE_CANCER_RACE_UP	11/199	303/41384	2.93E-07	5.02E-05	3.45E-05	ALOX5AP/ICAM2/CCL5/CLIC2/RASGRP1/CCND1/SLAMF1/WIPF1/APOL1/CMAHP/IRF8	11	0.055276382	0.00732167	7.549695673	E788_vs_WT	up
FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_UP	7/199	92/41384	3.32E-07	5.62E-05	3.86E-05	LTA/OSM/DDIT4/IER3/MTHFD1L/PYCR1/CHAC1	7	0.035175879	0.002223081	15.82302818	E788_vs_WT	up
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP	13/199	454/41384	3.67E-07	6.15E-05	4.22E-05	TNS1/OSM/CD80/IER3/B4GALT1/S1PR3/AKAP12/RAPGEF2/FERMT2/IRF8/PLPP3/BCL11A/TMC6	13	0.065326633	0.010970423	5.954796006	E788_vs_WT	up
IL15_UP.V1_UP	9/199	189/41384	3.80E-07	6.31E-05	4.33E-05	ZBTB32/OSM/KHDRBS3/SLCO4A1/SLAMF1/KCNJ2/ADAM19/SOCS2/TNFRSF21	9	0.045226131	0.004566982	9.902847571	E788_vs_WT	up
MODULE_19	11/199	313/41384	4.04E-07	6.63E-05	4.55E-05	EEF1A2/TRIB2/TLE1/COL15A1/DDIT4/AHCYL1/CCND1/TGFBR3/TTLL12/CCND2/ABLIM1	11	0.055276382	0.007563309	7.308491338	E788_vs_WT	up
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_DN	9/199	191/41384	4.16E-07	6.69E-05	4.59E-05	LTA/SOCS3/CD274/RASGRP1/SLAMF1/KCNJ2/RAPGEF2/IRF8/FSD1L	9	0.045226131	0.00461531	9.799152832	E788_vs_WT	up
MODULE_2	12/199	384/41384	4.16E-07	6.69E-05	4.59E-05	EEF1A2/TRIB2/PTP4A3/TLE1/COL15A1/DDIT4/IER3/CCND1/TGFBR3/AKAP12/CCND2/ABLIM1	12	0.060301508	0.009278948	6.498743719	E788_vs_WT	up
GSE30971_2H_VS_4H_LPS_STIM_MACROPHAGE_WBP7_HET_DN	9/199	193/41384	4.54E-07	6.88E-05	4.72E-05	SOCS3/LONRF2/TLE1/LINC01093/SLAMF1/FERMT2/TNFRSF21/FSD1L/STEAP1	9	0.045226131	0.004663638	9.697607207	E788_vs_WT	up
MEL18_DN.V1_UP	8/199	141/41384	4.55E-07	6.88E-05	4.72E-05	FAP/SLCO4A1/DDIT4/CCND1/TGFBR3/ADAM19/STEAP3/PLXNA1	8	0.040201005	0.003407114	11.79913753	E788_vs_WT	up
WELCSH_BRCA1_TARGETS_DN	8/199	141/41384	4.55E-07	6.88E-05	4.72E-05	CCND1/TRAP1/MYC/RRP1B/XRCC5/NOLC1/SRM/BOP1	8	0.040201005	0.003407114	11.79913753	E788_vs_WT	up
GSE10325_CD4_TCELL_VS_BCELL_DN	9/199	195/41384	4.95E-07	6.88E-05	4.72E-05	TLE1/B4GALT1/MZB1/ADAM19/RRAS2/IRF8/RHBDF2/BCL11A/FCER2	9	0.045226131	0.004711966	9.598144569	E788_vs_WT	up
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	9/199	195/41384	4.95E-07	6.88E-05	4.72E-05	TRIB2/TLE1/RASGRP1/ADAM19/RRAS2/ZHX2/BCL11A/NOLC1/ABLIM1	9	0.045226131	0.004711966	9.598144569	E788_vs_WT	up
GSE26290_WT_VS_PDK1_KO_ANTI_CD3_AND_IL2_STIM_CD8_TCELL_UP	9/199	195/41384	4.95E-07	6.88E-05	4.72E-05	CD274/SFXN4/MAPKAPK3/SLC27A2/MZB1/RAPGEF2/GFUS/IRF8/SOCS2	9	0.045226131	0.004711966	9.598144569	E788_vs_WT	up
GSE9960_HEALTHY_VS_SEPSIS_PBMC_UP	9/199	195/41384	4.95E-07	6.88E-05	4.72E-05	LTA/CCL17/TXNDC17/VAT1L/CDC45/HOPX/STEAP3/SOCS2/PROS1	9	0.045226131	0.004711966	9.598144569	E788_vs_WT	up
STAT5B_01	10/199	255/41384	5.09E-07	6.88E-05	4.72E-05	FAP/NCALD/MTTP/OSM/CCL5/SLAMF1/WIPF1/IRF8/SOCS2/PROS1	10	0.050251256	0.006161802	8.155286235	E788_vs_WT	up
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_48H_ACT_CD4_TCELL_DN	9/199	196/41384	5.16E-07	6.88E-05	4.72E-05	LTA/ZBTB32/SLAMF1/IL2RA/SLC27A2/RAPGEF2/WARS1/IRF8/SOCS2	9	0.045226131	0.00473613	9.549174444	E788_vs_WT	up
GSE360_L_MAJOR_VS_M_TUBERCULOSIS_MAC_UP	9/199	196/41384	5.16E-07	6.88E-05	4.72E-05	NCALD/CLIC2/WIPF1/TRIM10/HMGA1/GFUS/ASS1/PRKN/PLPP3	9	0.045226131	0.00473613	9.549174444	E788_vs_WT	up
GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN	9/199	196/41384	5.16E-07	6.88E-05	4.72E-05	SOCS3/CD274/GJB2/OSM/IER3/LINC01093/IL2RA/KCNJ2/RAPGEF2	9	0.045226131	0.00473613	9.549174444	E788_vs_WT	up
GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP	9/199	196/41384	5.16E-07	6.88E-05	4.72E-05	SOCS3/CD274/DDIT4/IER3/LINC01093/IL2RA/FNIP2/RAPGEF2/CHAC1	9	0.045226131	0.00473613	9.549174444	E788_vs_WT	up
HP_ABNORMAL_BLEEDING	13/199	469/41384	5.28E-07	6.88E-05	4.72E-05	EIF2AK4/MTTP/SH2B3/CACNA1D/RASGRP1/TGFBR3/MYC/WIPF1/HSD3B7/RRAS2/RHBDF2/TERT/PROS1	13	0.065326633	0.011332882	5.764344109	E788_vs_WT	up
GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_DN	9/199	197/41384	5.39E-07	6.88E-05	4.72E-05	CD274/CCL5/IL2RA/C4orf46/ADAM19/WARS1/FERMT2/SLC9B2/FSD1L	9	0.045226131	0.004760294	9.500701477	E788_vs_WT	up
GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_DN	9/199	197/41384	5.39E-07	6.88E-05	4.72E-05	SOCS3/CD274/OSM/CD80/CCL5/WARS1/FERMT2/RHEBL1/FSD1L	9	0.045226131	0.004760294	9.500701477	E788_vs_WT	up
GSE2128_C57BL6_VS_NOD_CD4CD8_DP_THYMOCYTE_UP	9/199	197/41384	5.39E-07	6.88E-05	4.72E-05	ALOX5AP/ATP8B4/STK24/WASL/BCAT1/TEX19/SOCS2/PLPP3/TSTD1	9	0.045226131	0.004760294	9.500701477	E788_vs_WT	up
GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_DN	9/199	197/41384	5.39E-07	6.88E-05	4.72E-05	SOCS3/SFXN4/TRAP1/IL2RA/MYC/MTHFD1L/TAF4B/NOLC1/SRM	9	0.045226131	0.004760294	9.500701477	E788_vs_WT	up
GSE2706_UNSTIM_VS_8H_R848_DC_DN	9/199	197/41384	5.39E-07	6.88E-05	4.72E-05	LTA/SOCS3/CD274/RASGRP1/SLAMF1/DESI1/RAPGEF2/WARS1/FSD1L	9	0.045226131	0.004760294	9.500701477	E788_vs_WT	up
GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_1DAY_STIMULATED_BCELL_UP	9/199	197/41384	5.39E-07	6.88E-05	4.72E-05	TMEM273/CCL17/HEMK1/EXTL2/MYC/CCND2/RRP1B/MTHFD1L/TMC6	9	0.045226131	0.004760294	9.500701477	E788_vs_WT	up
JAATINEN_HEMATOPOIETIC_STEM_CELL_UP	11/199	323/41384	5.51E-07	6.88E-05	4.72E-05	PM20D2/KHDRBS3/SLC27A2/MZB1/CMAHP/BCAT1/AKR1A1/SOCS2/BCL11A/TNFRSF21/SCRN1	11	0.055276382	0.007804949	7.082222257	E788_vs_WT	up
GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP	9/199	198/41384	5.62E-07	6.88E-05	4.72E-05	SLCO4A1/COL15A1/DDIT4/GNPDA1/FNIP2/S1PR3/FERMT2/PLPP3/CHAC1	9	0.045226131	0.004784458	9.452718136	E788_vs_WT	up
GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_UP	9/199	198/41384	5.62E-07	6.88E-05	4.72E-05	TMEM273/SLCO4A1/COL15A1/GNPDA1/FNIP2/S1PR3/HSD3B7/STARD5/PLPP3	9	0.045226131	0.004784458	9.452718136	E788_vs_WT	up
GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_DN	9/199	199/41384	5.86E-07	6.88E-05	4.72E-05	ALOX5AP/B4GALT1/RIOX2/MZB1/ADAM19/ZHX2/IRF8/BCL11A/FKBP11	9	0.045226131	0.004808622	9.40521704	E788_vs_WT	up
GSE30971_WBP7_HET_VS_KO_MACROPHAGE_DN	9/199	199/41384	5.86E-07	6.88E-05	4.72E-05	SOCS3/CD274/GJB2/SLCO4A1/IER3/SLAMF1/IL2RA/FSD1L/STEAP1	9	0.045226131	0.004808622	9.40521704	E788_vs_WT	up
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_17H_UP	9/199	199/41384	5.86E-07	6.88E-05	4.72E-05	ZBTB32/IER3/MYC/RRP1B/ZHX2/ASS1/TRAM2/XRCC5/TAF4B	9	0.045226131	0.004808622	9.40521704	E788_vs_WT	up
HALLMARK_IL2_STAT5_SIGNALING	9/199	199/41384	5.86E-07	6.88E-05	4.72E-05	IL2RA/MYC/ADAM19/CCND2/HOPX/IRF8/PRNP/SOCS2/TNFRSF21	9	0.045226131	0.004808622	9.40521704	E788_vs_WT	up
CD40_upregulated_Burkitt_lymphoma_SigDB_Staudt	7/199	100/41384	5.87E-07	6.88E-05	4.72E-05	LTA/PTP4A3/SH2B3/DDIT4/IER3/SLAMF1/TMC6	7	0.035175879	0.002416393	14.55718593	E788_vs_WT	up
GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_DN	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	TRIB2/GJB2/SLAMF1/PRDX1/CCND2/RRP1B/TESC/SOCS2/ABCA3	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
GSE19198_1H_VS_6H_IL21_TREATED_TCELL_DN	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	FAP/SOCS3/MYC/AKAP12/CCND2/RRP1B/IRF8/SOCS2/SRM	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
GSE19198_CTRL_VS_IL21_TREATED_TCELL_6H_UP	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	SFXN4/ATP8B4/TRAP1/MYC/CMAHP/XPO6/FCER2/SRM/VARS1	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
GSE28726_NAIVE_VS_ACTIVATED_VA24NEG_NKTCELL_UP	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	AHCYL1/PRDX1/WARS1/GFUS/HOPX/PYCR1/NOLC1/SRM/TBL3	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
GSE28737_FOLLICULAR_VS_MARGINAL_ZONE_BCELL_BCL6_HET_DN	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	ZBTB32/TXNDC17/GJB2/RASGRP1/IL2RA/GNB4/CCND2/SOCS2/PLXNA1	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
GSE39556_CD8A_DC_VS_NK_CELL_UP	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	TRAP1/CCND2/BCAT1/BMI1/PRNP/SOCS2/B3GNTL1/GYPC/ABLIM1	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_CD8A_DC_DN	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	ALOX5AP/TLE1/AKAP12/BMI1/SOCS2/BCL11A/GYPC/ABLIM1/PDE9A	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
GSE40274_GATA1_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	HEMK1/IL2RA/PLOD2/BCAT1/UBQLN4/SLC9B2/SLC5A6/SRM/TBL3	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
GSE45739_NRAS_KO_VS_WT_ACD3_ACD28_STIM_CD4_TCELL_UP	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	TXNDC17/SH2B3/MAPKAPK3/IL2RA/COPRS/NPM3/CCND2/RRAS2/MTHFD1L	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4_KO_BCELL_UP	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	TRIB2/CCL5/MAPKAPK3/FNIP2/MYC/TTLL12/DESI1/IRF8/SRM	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_DN	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	OSM/MAPKAPK3/ATP8B4/IL2RA/RIOX2/RRAS2/HOPX/ASS1/SOCS2	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
GSE6674_PL2_3_VS_ANTI_IGM_AND_CPG_STIM_BCELL_DN	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	LTA/SOCS3/OSM/B4GALT1/RASGRP1/IL2RA/MYC/SEPTIN9/PRNP	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
GSE7460_TCONV_VS_TREG_LN_DN	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	CD274/MAPKAPK3/IL2RA/STARD5/HOPX/IRF8/SOCS2/SLC9B2/PROS1	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
GSE7831_UNSTIM_VS_CPG_STIM_PDC_1H_DN	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	LTA/TLE1/OSM/TUBE1/IL2RA/MYC/SEPTIN9/ADAM19/PRNP	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_DN	9/199	200/41384	6.11E-07	6.88E-05	4.72E-05	SOCS3/CCL5/IER3/IL2RA/EBNA1BP2/GNB4/RRAS2/WARS1/SOCS2	9	0.045226131	0.004832786	9.358190955	E788_vs_WT	up
JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_DN	12/199	402/41384	6.74E-07	7.54E-05	5.17E-05	ICAM2/DDIT4/IER3/GNPDA1/FNIP2/STARD5/ASS1/RHOV/SOCS2/BCL11A/STEAP1/PDE9A	12	0.060301508	0.009713899	6.207755194	E788_vs_WT	up
GOBP_LEUKOCYTE_PROLIFERATION	11/199	331/41384	7.00E-07	7.77E-05	5.34E-05	CD274/IL9/CD80/CCL5/RASGRP1/SLAMF1/IL2RA/MZB1/HHLA2/PRNP/TNFRSF21	11	0.055276382	0.00799826	6.911050722	E788_vs_WT	up
HP_CLUBBING_OF_FINGERS	5/199	35/41384	7.06E-07	7.78E-05	5.34E-05	EIF2AK4/RASGRP1/ABCA3/TERT/SLC5A6	5	0.025125628	8.46E-04	29.70854271	E788_vs_WT	up
SWEET_LUNG_CANCER_KRAS_UP	13/199	482/41384	7.17E-07	7.80E-05	5.35E-05	EIF2AK4/OSBPL1A/GJB2/COL15A1/LRG1/CCND1/ADAM19/GFUS/SLC25A39/PRNP/SOCS2/MRPS34/RPL6	13	0.065326633	0.011647013	5.608874247	E788_vs_WT	up
BASSO_CD40_SIGNALING_UP	7/199	103/41384	7.17E-07	7.80E-05	5.35E-05	LTA/PTP4A3/SH2B3/DDIT4/IER3/SLAMF1/TMC6	7	0.035175879	0.002488885	14.13319022	E788_vs_WT	up
GOBP_T_CELL_PROLIFERATION	9/199	205/41384	7.51E-07	8.05E-05	5.53E-05	CD274/CD80/CCL5/RASGRP1/SLAMF1/IL2RA/HHLA2/PRNP/TNFRSF21	9	0.045226131	0.004953605	9.129942395	E788_vs_WT	up
MANALO_HYPOXIA_UP	9/199	205/41384	7.51E-07	8.05E-05	5.53E-05	TRIB2/FAM171A1/TNS1/TLE1/DDIT4/IER3/PLOD2/ZHX2/GYPC	9	0.045226131	0.004953605	9.129942395	E788_vs_WT	up
SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_UP	6/199	67/41384	8.96E-07	9.54E-05	6.55E-05	TLE1/KHDRBS3/CACNA1D/SEPTIN9/XRCC5/PDE9A	6	0.030150754	0.001618983	18.62326558	E788_vs_WT	up
KEGG_JAK_STAT_SIGNALING_PATHWAY	8/199	155/41384	9.33E-07	9.84E-05	6.76E-05	SOCS3/IL9/OSM/CCND1/IL2RA/MYC/CCND2/SOCS2	8	0.040201005	0.003745409	10.73340898	E788_vs_WT	up
RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_UP	11/199	341/41384	9.37E-07	9.84E-05	6.76E-05	CCL17/PTP4A3/CD80/CLIC2/CCND1/SLAMF1/PRDX1/ADAM19/ZHX2/PLPP3/PLXNA1	11	0.055276382	0.008239899	6.708380613	E788_vs_WT	up
MODULE_63	9/199	211/41384	9.55E-07	9.97E-05	6.84E-05	GJB2/CD80/CLIC2/PTPRO/IL2RA/KCNJ2/TGFBR3/FCER2/TNFRSF21	9	0.045226131	0.005098589	8.87032318	E788_vs_WT	up
JAK_Up_HBL1_SigDB_Staudt	11/199	344/41384	1.02E-06	1.06E-04	7.26E-05	SOCS3/OSM/TUBE1/SLAMF1/MYC/APOL1/MTHFD1L/GNPTAB/ASS1/UBQLN4/TAF4B	11	0.055276382	0.008312391	6.649877293	E788_vs_WT	up
GOBP_RESPONSE_TO_CORTICOSTEROID	8/199	157/41384	1.03E-06	1.06E-04	7.27E-05	SSTR2/SLIT3/GJB2/DDIT4/CCND1/ASS1/ABCA3/BMP6	8	0.040201005	0.003793737	10.59667766	E788_vs_WT	up
TRAVAGLINI_LUNG_BASOPHIL_MAST_1_CELL	10/199	276/41384	1.04E-06	1.07E-04	7.33E-05	ALOX5AP/ZBTB32/SLC27A2/PRDX1/FERMT2/GNPTAB/TESC/PRNP/TNFRSF21/PROS1	10	0.050251256	0.006669244	7.534775326	E788_vs_WT	up
MULLIGHAN_MLL_SIGNATURE_2_DN	10/199	280/41384	1.19E-06	1.20E-04	8.25E-05	FAM171A1/PTP4A3/HEMK1/IL2RA/SEPTIN9/GNPTAB/BCAT1/ASS1/PYCR1/TNFRSF21	10	0.050251256	0.0067659	7.427135678	E788_vs_WT	up
TRAVAGLINI_LUNG_PLASMACYTOID_DENDRITIC_CELL	7/199	111/41384	1.19E-06	1.20E-04	8.25E-05	SLC35F3/EIF2AK4/SH2B3/MZB1/IRF8/BCL11A/TNFRSF21	7	0.035175879	0.002682196	13.11458192	E788_vs_WT	up
BHAT_ESR1_TARGETS_VIA_AKT1_UP	10/199	281/41384	1.23E-06	1.23E-04	8.46E-05	LONRF2/IER3/B4GALT1/LRG1/CCND1/STK24/SEPTIN9/UBQLN4/NOLC1/SRM	10	0.050251256	0.006790064	7.400704591	E788_vs_WT	up
Glutamine_Glucose_starve_both_down_SigDB_Staudt	12/199	426/41384	1.24E-06	1.23E-04	8.46E-05	SSTR2/LTA/PTDSS1/MAPKAPK3/EBNA1BP2/MYC/NPM3/RRP1B/XPO6/ASS1/TMC6/SRM	12	0.060301508	0.010293833	5.858022507	E788_vs_WT	up
STK33_NOMO_DN	10/199	282/41384	1.27E-06	1.26E-04	8.62E-05	OSBPL1A/PM20D2/GJB2/VAT1L/RASGRP1/HHLA2/AKR1A1/SOCS2/SLC9B2/VARS1	10	0.050251256	0.006814228	7.374460957	E788_vs_WT	up
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	10/199	285/41384	1.39E-06	1.37E-04	9.42E-05	OSBPL1A/FNIP2/EXTL2/STARD5/CCND2/RRP1B/SLC25A39/PYCR1/TERT/FKBP11	10	0.050251256	0.00688672	7.296835052	E788_vs_WT	up
MODULE_12	11/199	360/41384	1.59E-06	1.55E-04	1.07E-04	EEF1A2/TRIB2/TLE1/COL15A1/DDIT4/CCND1/CCND2/FERMT2/HOPX/ABCA3/ABLIM1	11	0.055276382	0.008699014	6.354327192	E788_vs_WT	up
LENAOUR_DENDRITIC_CELL_MATURATION_UP	7/199	116/41384	1.60E-06	1.56E-04	1.07E-04	CCL17/TRIB2/PTPRO/CCND2/RRP1B/FCER2/SCRN1	7	0.035175879	0.002803016	12.54929822	E788_vs_WT	up
BAELDE_DIABETIC_NEPHROPATHY_DN	12/199	437/41384	1.61E-06	1.56E-04	1.07E-04	TRIB2/PTPRO/PLOD2/TGFBR3/APOL1/CACNB2/CMAHP/WARS1/FERMT2/TRAM2/XRCC5/SCRN1	12	0.060301508	0.010559637	5.710566563	E788_vs_WT	up
Rapamycin_BJAB_down_SigDB_Staudt	9/199	225/41384	1.62E-06	1.56E-04	1.07E-04	PTDSS1/MAPKAPK3/TRAP1/EBNA1BP2/NPM3/DESI1/RRP1B/XPO6/SRM	9	0.045226131	0.005436884	8.31839196	E788_vs_WT	up
IRF4_ABC_induced_all_SigDB_Staudt	12/199	443/41384	1.85E-06	1.77E-04	1.21E-04	PIEZO2/HEMK1/SH2B3/B4GALT1/MZB1/ADAM19/ASS1/PYCR1/SLC39A3/NSMF/BCL11A/TNFRSF21	12	0.060301508	0.01070462	5.633222546	E788_vs_WT	up
MODULE_18	12/199	450/41384	2.18E-06	2.07E-04	1.42E-04	TRIB2/PTP4A3/DDIT4/IER3/PLOD2/MYC/TTLL12/RRP1B/TRAM2/NPAS1/NOLC1/BOP1	12	0.060301508	0.010873768	5.54559464	E788_vs_WT	up
GOBP_REGULATION_OF_T_CELL_PROLIFERATION	8/199	174/41384	2.22E-06	2.10E-04	1.44E-04	CD274/CD80/CCL5/SLAMF1/IL2RA/HHLA2/PRNP/TNFRSF21	8	0.040201005	0.004204523	9.561370069	E788_vs_WT	up
GSE6092_IFNG_VS_IFNG_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_DN	8/199	175/41384	2.32E-06	2.17E-04	1.49E-04	SOCS3/CD274/PTP4A3/SLAMF1/RAPGEF2/ENTR1/ZHX2/TRAM2	8	0.040201005	0.004228687	9.506733668	E788_vs_WT	up
MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN	9/199	235/41384	2.32E-06	2.17E-04	1.49E-04	OSBPL1A/TLE1/LSM11/PLOD2/ADAM19/HMGA1/ASS1/PLPP3/PLXNA1	9	0.045226131	0.005678523	7.964417834	E788_vs_WT	up
GOBP_RIBOSOME_BIOGENESIS	10/199	303/41384	2.41E-06	2.23E-04	1.53E-04	RIOX2/EBNA1BP2/NPM3/MTERF3/RRP1B/XRCC5/RPL6/NOLC1/TBL3/BOP1	10	0.050251256	0.00732167	6.863359703	E788_vs_WT	up
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION	10/199	305/41384	2.55E-06	2.35E-04	1.61E-04	CD274/SH2B3/CD80/PTPRO/IL2RA/ASS1/PRNP/BMP6/TNFRSF21/PLXNA1	10	0.050251256	0.007369998	6.818354065	E788_vs_WT	up
HP_ABNORMAL_RETICULOCYTE_MORPHOLOGY	6/199	80/41384	2.56E-06	2.35E-04	1.61E-04	MTTP/RASGRP1/STEAP3/CDAN1/TERT/GYPC	6	0.030150754	0.001933114	15.59698492	E788_vs_WT	up
GOBP_LEUKOCYTE_CELL_CELL_ADHESION	11/199	381/41384	2.73E-06	2.49E-04	1.71E-04	CD274/CD80/CCL5/RASGRP1/SLAMF1/IL2RA/HHLA2/GFUS/ASS1/PRNP/TNFRSF21	11	0.055276382	0.009206457	6.004088685	E788_vs_WT	up
VAN_DEN_BIGGELAAR_PBMC_PREVNAR_9MO_INFANT_STIMULATED_VS_UNSTIMULATED_8MO_UP	6/199	81/41384	2.76E-06	2.50E-04	1.71E-04	ZBTB32/APOL4/CD274/IL9/OSM/CDC45	6	0.030150754	0.001957278	15.40442956	E788_vs_WT	up
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_4	10/199	309/41384	2.87E-06	2.58E-04	1.77E-04	SSTR2/GNPDA1/SLC27A2/COPRS/MYC/GNB4/RRP1B/ZHX2/ASS1/RHBDF2	10	0.050251256	0.007466654	6.730090582	E788_vs_WT	up
MODULE_38	12/199	463/41384	2.91E-06	2.59E-04	1.78E-04	PTP4A3/TLE1/COL15A1/IER3/MAPKAPK3/PTPRO/CCND1/TGFBR3/TTLL12/ADAM19/HOPX/TRAM2	12	0.060301508	0.011187899	5.389886799	E788_vs_WT	up
REACTOME_SIGNALING_BY_INTERLEUKINS	12/199	463/41384	2.91E-06	2.59E-04	1.78E-04	SOCS3/IL31/IL9/OSM/CD80/CCL5/MAPKAPK3/CCND1/IL2RA/MYC/SOCS2/FCER2	12	0.060301508	0.011187899	5.389886799	E788_vs_WT	up
MODULE_3	11/199	384/41384	2.95E-06	2.61E-04	1.79E-04	IER3/CCND1/PLOD2/EXTL2/AKAP12/RRP1B/FERMT2/TRAM2/NOLC1/STEAP1/BOP1	11	0.055276382	0.009278948	5.957181742	E788_vs_WT	up
AIZARANI_LIVER_C29_MVECS_2	10/199	313/41384	3.21E-06	2.83E-04	1.94E-04	SOCS3/B4GALT1/FNIP2/TGFBR3/MYC/AKAP12/WARS1/PLPP3/NOLC1/ABLIM1	10	0.050251256	0.007563309	6.644083035	E788_vs_WT	up
GSE22611_NOD2_TRANSDUCED_VS_CTRL_HEK293T_STIMULATED_WITH_MDP_2H_DN	8/199	183/41384	3.23E-06	2.83E-04	1.94E-04	LTA/SOCS3/HEMK1/RASGRP1/BCAT1/SRM/CHAC1/VARS1	8	0.040201005	0.004421999	9.091138754	E788_vs_WT	up
ZHONG_PFC_C8_UNKNOWN_NEUROD2_POS_INTERNEURON	6/199	84/41384	3.41E-06	2.97E-04	2.04E-04	EEF1A2/NCALD/KHDRBS3/COPRS/SRM/ABLIM1	6	0.030150754	0.00202977	14.85427136	E788_vs_WT	up
